onset	duration	nwb_table	error_run	stim_run	both_visit	condition	label
0.0256	3706.2656	epochs					
8.0	4856.0	states					awake
9.0704	82.89840000000001	trials	0.0	0.0	0.0	run_left	
91.9688	67.13599999999998	trials	0.0	0.0	0.0	run_right	
159.10479999999998	93.92080000000001	trials	0.0	0.0	0.0	run_left	
253.0256	86.18399999999997	trials	0.0	1.0	0.0	run_right	
339.20959999999997	221.40000000000003	trials	0.0	1.0	0.0	run_left	
560.6096	75.61520000000007	trials	0.0	1.0	0.0	run_right	
636.2248000000001	129.7976	trials	0.0	0.0	0.0	run_left	
766.0224000000001	55.219999999999914	trials	0.0	0.0	0.0	run_right	
821.2424	113.83040000000005	trials	0.0	1.0	0.0	run_left	
935.0728	40.761600000000044	trials	1.0	1.0	0.0	run_left	
975.8344000000001	62.872799999999984	trials	0.0	0.0	0.0	run_right	
1038.7072	72.45839999999998	trials	0.0	0.0	0.0	run_left	
1111.1656	72.09120000000007	trials	0.0	0.0	0.0	run_right	
1183.2568	96.80159999999978	trials	0.0	1.0	0.0	run_left	
1280.0584	194.72160000000008	trials	1.0	1.0	0.0	run_left	
1474.78	132.87599999999998	trials	1.0	1.0	0.0	run_left	
1607.656	213.6608000000001	trials	0.0	0.0	0.0	run_right	
1821.3168	156.35439999999994	trials	0.0	0.0	0.0	run_left	
1977.6712	46.483999999999924	trials	1.0	1.0	0.0	run_left	
2024.1552	54.29600000000005	trials	0.0	1.0	0.0	run_right	
2078.4512	163.01440000000002	trials	0.0	0.0	0.0	run_left	
2241.4656	128.30319999999983	trials	1.0	0.0	0.0	run_left	
2369.7688	61.30000000000018	trials	0.0	0.0	0.0	run_right	
2431.0688	246.89280000000008	trials	0.0	1.0	0.0	run_left	
2677.9616	52.5671999999995	trials	1.0	1.0	0.0	run_left	
2730.5287999999996	71.74240000000054	trials	0.0	1.0	0.0	run_right	
2802.2712	148.8503999999998	trials	1.0	0.0	0.0	run_right	
2951.1216	121.50400000000036	trials	0.0	0.0	0.0	run_left	
3072.6256000000003	74.34159999999974	trials	1.0	1.0	0.0	run_left	
3146.9672	223.71039999999994	trials	0.0	1.0	0.0	run_right	
3370.6776	120.49519999999984	trials	0.0	0.0	0.0	run_left	
3491.1728	215.12720000000036	trials	0.0	0.0	0.0	run_right	
4864.0	130.0	states					quiet
4994.0	543.0	states					awake
5537.0	44.0	states					quiet
5581.0	98.0	states					awake
5679.0	941.0	states					nrem
6620.0	6.0	states					transit
6626.0	45.0	states					rem
6671.0	620.0	states					nrem
7291.0	457.0	states					awake
7748.0	50.0	states					quiet
7798.0	445.0	states					nrem
8243.0	14.0	states					transit
8257.0	26.0	states					rem
8283.0	343.0	states					nrem
8626.0	3.0	states					transit
8629.0	40.0	states					rem
8669.0	238.0	states					awake
8907.0	321.0	states					nrem
9228.0	11.0	states					transit
9239.0	76.0	states					rem
9315.0	2.0	states					nrem
9317.0	29.0	states					quiet
9346.0	94.0	states					nrem
9440.0	128.0	states					awake
9568.0	191.0	states					nrem
9759.0	5979.0	states					awake
9762.048	2291.7375999999986	epochs					
12054.8096	2406.0671999999995	epochs					
14461.9008	1276.2880000000005	epochs					
15739.2128	2335.974400000001	epochs					
18076.2112	1188.2752	epochs					
19265.5104	2414.5663999999997	epochs					
