onset	duration	nwb_table	error_run	stim_run	both_visit	condition	label
5.0	295.0	states					awake
300.0	975.0	states					nrem
1275.0	12.0	states					transit
1287.0	123.0	states					rem
1410.0	794.0	states					nrem
2204.0	20.0	states					transit
2224.0	156.0	states					rem
2380.0	1260.0	states					nrem
3640.0	14.0	states					transit
3654.0	84.0	states					rem
3738.0	1294.0	states					awake
5032.0	3153.0	states					nrem
8185.0	22.0	states					transit
8207.0	185.0	states					rem
8392.0	761.0	states					nrem
9153.0	439.0	states					awake
9592.0	410.0	states					nrem
10002.0	4341.0	states					awake
10006.8096	3440.2816000000003	epochs					
10022.270400000001	184.11119999999755	trials	0.0	0.0	0.0	run_left	
10206.381599999999	104.46160000000054	trials	0.0	0.0	0.0	run_right	
10310.8432	49.23440000000119	trials	0.0	0.0	0.0	run_left	
10360.0776	80.87279999999919	trials	0.0	0.0	0.0	run_right	
10440.9504	161.7007999999987	trials	0.0	0.0	0.0	run_left	
10602.651199999998	57.13600000000042	trials	0.0	0.0	0.0	run_right	
10659.787199999999	97.63520000000062	trials	0.0	0.0	0.0	run_left	
10757.4224	51.4304000000011	trials	0.0	0.0	0.0	run_right	
10808.8528	45.22400000000016	trials	0.0	0.0	0.0	run_left	
10854.0768	46.62719999999899	trials	0.0	0.0	0.0	run_right	
10900.704	48.400800000001254	trials	0.0	0.0	0.0	run_left	
10949.104800000001	37.0	trials	1.0	0.0	0.0	run_left	
10986.104800000001	58.73599999999897	trials	0.0	0.0	0.0	run_right	
11044.8408	101.04320000000007	trials	0.0	0.0	0.0	run_left	
11145.884	70.15600000000086	trials	0.0	0.0	0.0	run_right	
11216.04	103.23919999999816	trials	0.0	0.0	0.0	run_left	
11319.279199999999	50.107200000002194	trials	0.0	0.0	0.0	run_right	
11369.386400000001	47.20639999999912	trials	0.0	0.0	0.0	run_left	
11416.5928	83.15200000000004	trials	0.0	0.0	0.0	run_right	
11499.7448	55.63760000000002	trials	0.0	0.0	0.0	run_left	
11555.3824	58.5671999999995	trials	0.0	0.0	0.0	run_right	
11613.9496	52.090400000000955	trials	0.0	0.0	0.0	run_left	
11666.04	53.013599999998405	trials	1.0	0.0	0.0	run_left	
11719.0536	288.1040000000012	trials	1.0	0.0	0.0	run_left	
12007.1576	86.70559999999932	trials	1.0	0.0	0.0	run_left	
12093.8632	106.77120000000104	trials	0.0	0.0	0.0	run_right	
12200.6344	205.98240000000078	trials	0.0	0.0	0.0	run_left	
12406.616800000002	33.59759999999915	trials	1.0	0.0	0.0	run_left	
12440.2144	49.32239999999911	trials	1.0	0.0	0.0	run_left	
12489.5368	150.8160000000007	trials	1.0	0.0	0.0	run_left	
12640.3528	128.0615999999991	trials	0.0	0.0	0.0	run_right	
12768.4144	44.95040000000154	trials	0.0	0.0	0.0	run_left	
12813.364800000001	48.57519999999931	trials	1.0	0.0	0.0	run_left	
12861.94	219.89840000000004	trials	0.0	0.0	0.0	run_right	
13081.8384	127.4431999999997	trials	0.0	0.0	0.0	run_left	
13209.2816	235.6903999999995	trials	0.0	0.0	0.0	run_right	
14343.0	52.0	states					quiet
14395.0	605.0	states					awake
15000.0	1831.0	states					nrem
16831.0	12.0	states					transit
16843.0	32.0	states					rem
16875.0	195.0	states					nrem
17070.0	15.0	states					transit
17085.0	49.0	states					rem
17134.0	380.0	states					nrem
17514.0	9.0	states					transit
17523.0	30.0	states					rem
17553.0	241.0	states					nrem
17794.0	12.0	states					transit
17806.0	44.0	states					rem
17850.0	354.0	states					nrem
18204.0	16.0	states					transit
18220.0	112.0	states					rem
18332.0	2146.0	states					nrem
20478.0	1035.0	states					awake
21513.0	608.0	states					nrem
22121.0	29.0	states					transit
22150.0	143.0	states					rem
22293.0	1374.0	states					nrem
23667.0	17.0	states					transit
23684.0	80.0	states					rem
23764.0	522.0	states					nrem
24286.0	865.0	states					awake
25151.0	532.0	states					nrem
25683.0	7.0	states					transit
25690.0	19.0	states					rem
25709.0	320.0	states					nrem
26029.0	7.0	states					transit
26036.0	10.0	states					rem
26046.0	89.0	states					nrem
