onset	duration	nwb_table	error_run	stim_run	both_visit	condition	label
0.0	364.0	states					awake
364.0	289.0	states					nrem
653.0	60.0	states					awake
713.0	793.0	states					nrem
1506.0	11.0	states					transit
1517.0	33.0	states					rem
1550.0	530.0	states					nrem
2080.0	8.0	states					transit
2088.0	40.0	states					rem
2128.0	132.0	states					nrem
2260.0	8.0	states					transit
2268.0	122.0	states					rem
2390.0	832.0	states					nrem
3222.0	919.0	states					awake
4141.0	1041.0	states					nrem
5182.0	7.0	states					transit
5189.0	64.0	states					rem
5253.0	515.0	states					nrem
5768.0	8.0	states					transit
5776.0	68.0	states					rem
5844.0	1352.0	states					nrem
7196.0	7.0	states					transit
7203.0	52.0	states					rem
7255.0	230.0	states					nrem
7485.0	16.0	states					transit
7501.0	200.0	states					rem
7701.0	606.0	states					nrem
8307.0	16.0	states					transit
8323.0	58.0	states					rem
8381.0	338.0	states					quiet
8719.0	441.0	states					nrem
9160.0	13898.0	states					awake
9168.6144	1767.6800000000003	epochs					
9181.5848	72.42079999999987	trials	0.0	0.0	0.0	run_right	
9254.0056	112.03359999999884	trials	0.0	0.0	0.0	run_left	
9366.0392	56.09280000000035	trials	0.0	0.0	0.0	run_right	
9422.132	99.03360000000066	trials	0.0	0.0	0.0	run_left	
9521.1656	59.14400000000023	trials	0.0	0.0	0.0	run_right	
9580.3096	86.6319999999996	trials	0.0	0.0	0.0	run_left	
9666.9416	72.88880000000063	trials	0.0	0.0	0.0	run_right	
9739.8304	84.15119999999843	trials	0.0	0.0	0.0	run_left	
9823.9816	53.79280000000108	trials	0.0	0.0	0.0	run_right	
9877.7744	68.30879999999888	trials	0.0	0.0	0.0	run_left	
9946.0832	60.79999999999927	trials	0.0	0.0	0.0	run_right	
10006.883199999998	96.96880000000237	trials	0.0	0.0	0.0	run_left	
10103.852	76.77599999999984	trials	0.0	0.0	0.0	run_right	
10180.628	91.78399999999965	trials	0.0	0.0	0.0	run_left	
10272.412	88.51599999999962	trials	0.0	0.0	0.0	run_right	
10360.928	88.55199999999968	trials	0.0	0.0	0.0	run_left	
10449.48	67.27919999999904	trials	0.0	0.0	0.0	run_right	
10516.759199999999	150.84240000000136	trials	0.0	0.0	0.0	run_left	
10667.6016	119.4312000000009	trials	0.0	0.0	0.0	run_right	
10787.0328	148.46079999999893	trials	0.0	0.0	0.0	run_left	
10937.3952	1536.384	epochs					
12474.8032	237.0560000000005	epochs					
13815.9104	209.7663999999986	epochs					
14295.5008	84.99200000000019	epochs					
14971.2128	174.84799999999996	epochs					
15323.4432	572.467200000001	epochs					
16198.6304	365.7984000000015	epochs					
16839.0656	2922.239999999998	epochs					
19965.9008	2663.4752000000008	epochs					
23058.0	345.0	states					nrem
23403.0	277.0	states					awake
23680.0	3090.0	states					nrem
26770.0	12.0	states					transit
26782.0	212.0	states					rem
26994.0	743.0	states					nrem
27738.0	907.0	states					awake
28645.0	30.0	states					quiet
28675.0	1136.0	states					nrem
36729.3184	2645.376000000004	epochs					
36742.3376	59.65679999999702	trials	0.0	0.0	0.0	run_right	
36801.994399999996	73.45920000000478	trials	0.0	0.0	0.0	run_left	
36875.4536	56.09599999999773	trials	0.0	0.0	0.0	run_right	
